Date and time,Wind speed (m/s),Rotor speed (RPM),Pitch angle (°),Nacelle position (°),Wind direction (°),Nacelle ambient temperature (°C),Power (kW),Yaw error (°)
2019-07-03 16:40:00,11.30534902,15.21613741,6.071799762,260.5735675,268.8320357,6.724999905,2050.099426,8.258468199999982
2019-07-03 16:50:00,10.97077861,15.19527479,4.055580572,267.0421298,265.7656909,6.757500029,1997.237457,-1.2764389000000165
2019-07-03 17:00:00,10.49426067,15.19875683,3.157895969,268.366272,266.034907,6.719999886,1982.764795,-2.3313650000000052
2019-07-03 17:10:00,10.12596204,15.17616141,1.78514365,268.366272,271.5273256,6.702499819,1929.410376,3.1610536000000025
2019-07-03 17:20:00,9.836684012,15.15542793,2.101467032,268.366272,271.8104259,6.757500005,1865.795581,3.4441539000000034
2019-07-03 17:30:00,11.04018383,15.15939997,3.180102491,268.366272,267.6088068,6.985000014,1948.055798,-0.757465199999956
2019-07-03 17:40:00,11.28273983,15.12438083,4.97692875,268.366272,267.06467,7.064999938,2014.505811,-1.3016020000000026
2019-07-03 17:50:00,10.1725354,15.16698928,2.707734046,268.366272,266.8113698,6.995000029,1900.334949,-1.5549021999999582
2019-07-03 18:00:00,9.382719469,14.97147913,0.335262799,268.366272,269.8876817,7.052499986,1498.558063,1.5214096999999924
2019-07-03 18:10:00,8.958176625,14.835935,0.394925876,268.366272,272.5897529,7.032500029,1470.178888,4.223480900000027
2019-07-03 18:20:00,9.213912225,14.93288027,0.10899792,268.366272,277.6384771,7.0,1498.532993,9.272205100000008
2019-07-03 18:30:00,9.206951237,14.97726497,0.210488367,268.366272,277.4026548,7.089999938,1429.380106,9.036382800000013
2019-07-03 18:40:00,9.524667001,15.12078689,1.415351583,274.6795483,277.4622135,7.159999824,1731.152032,2.7826651999999967
2019-07-03 18:50:00,10.40712829,15.17632386,1.879693389,279.3419189,278.8106847,7.199999809,1905.715662,-0.5312341999999717
2019-07-03 19:00:00,8.960571098,14.94853784,0.260474966,279.3419189,282.2868194,7.1974998,1515.099203,2.944900500000017
2019-07-03 19:10:00,8.63220048,14.86337265,0.254720977,282.2753122,283.9706337,7.199999809,1304.014136,1.6953215000000341
2019-07-03 19:20:00,8.376075029,15.04625514,0.157494282,284.8297424,281.0378055,7.28499999,1459.664008,-3.791936899999996
2019-07-03 19:30:00,9.383443522,15.11493458,0.304428304,284.8297424,288.3747133,7.400000095,1583.360529,3.54497090000001
2019-07-03 19:40:00,8.907556629,14.93834116,0.0,291.033714,288.6272653,7.4625,1353.012787,-2.4064486999999986
2019-07-03 19:50:00,7.740903449,13.93824604,0.0025,294.7078247,284.8998103,7.517499971,983.6533966,-9.80801439999999
2019-07-03 20:00:00,8.477110839,14.63741805,0.126996481,294.7078247,290.3145026,7.699999809,1266.374945,-4.393322099999978
2019-07-03 20:10:00,8.612476324,14.86782526,0.0,294.7078247,289.4343065,7.699999809,1318.089622,-5.273518200000012
2019-07-03 20:20:00,9.619539928,15.10760133,0.195953247,294.7078247,290.483947,7.699999809,1559.20965,-4.223877700000003
2019-07-03 20:30:00,8.819793153,14.91388987,0.13048729,294.7078247,288.5863016,7.684999824,1407.723987,-6.12152309999999
2019-07-03 20:40:00,9.471666286,15.13686828,0.189469145,294.7078247,290.5213244,7.699999809,1636.623143,-4.186500299999977
2019-07-03 20:50:00,9.0859374,15.08500669,0.153648054,294.7078247,289.0507726,7.694736656,1484.411644,-5.657052099999987
2019-07-03 21:00:00,8.510680119,14.67024316,0.0,294.7078247,290.0773184,7.688888709,1177.736833,-4.630506299999979
2019-07-03 21:10:00,9.116770719,15.13368036,0.517766273,294.7078247,292.6380324,7.705262987,1703.794446,-2.0697923000000173
2019-07-03 21:20:00,8.239306593,14.95210442,0.076499609,294.7078247,287.427145,7.699999809,1423.572079,-7.280679700000007
2019-07-03 21:30:00,8.208251619,14.67295249,0.011499974,294.7078247,289.1216049,7.639999866,1237.554544,-5.586219799999981
2019-07-03 21:40:00,8.871025705,14.95431814,0.287447317,294.7078247,287.8982845,7.5,1447.796082,-6.809540200000015
2019-07-03 21:50:00,9.79723866,15.15772046,0.914907138,294.7078247,291.7855175,7.492499971,1816.606451,-2.9223071999999775
2019-07-03 22:00:00,9.876259303,15.1630117,1.174266143,294.7078247,298.2882266,7.479999971,1829.468903,3.58040189999997
2019-07-03 22:10:00,10.59414549,15.16054259,3.166476096,294.7078247,301.2226527,7.504999995,2016.294196,6.514828000000023
2019-07-03 22:20:00,9.273460579,15.12666294,0.587451416,294.7078247,296.1969463,7.504999995,1720.474933,1.4891215999999758
2019-07-03 22:30:00,8.591158772,15.050522,0.065499493,294.7078247,293.5434034,7.442499948,1395.029083,-1.164421300000015
2019-07-03 22:40:00,7.919307733,14.63761452,0.030499508,294.7078247,293.313386,7.390000105,1160.661673,-1.3944387000000233
2019-07-03 22:50:00,8.674949861,15.06276396,0.086498294,294.7078247,294.7796794,7.264999938,1379.945563,0.07185470000001715
2019-07-03 23:00:00,8.278677678,14.68790598,0.189995481,294.7078247,296.0056461,7.142499828,1279.75545,1.2978213999999753
2019-07-03 23:10:00,7.206470633,13.69082956,0.0,294.7078247,297.143777,7.025,862.8133972,2.4359522999999967
2019-07-03 23:20:00,7.364715862,13.32614726,0.0,294.7078247,295.5791513,6.845000148,809.2567719,0.8713265999999749
2019-07-03 23:30:00,7.185661936,12.9661662,0.0,294.7078247,295.9632364,6.800000191,727.4724823,1.2554117000000247
2019-07-03 23:40:00,7.214341116,13.45781994,0.0,294.7078247,295.5750009,6.724999928,821.8027863,0.8671762000000172
2019-07-03 23:50:00,8.035323381,14.54473472,0.0,294.7078247,295.6833457,6.480000019,1052.886877,0.9755210000000147
2019-07-04 00:00:00,4.473585882,8.709780966,0.0,51.04895782,48.96686446,7.034210556,182.6814017,-2.0820933599999876
2019-07-04 00:10:00,4.691697276,8.710942313,0.0,51.04895782,52.22154913,7.082499981,183.4464798,1.1725913100000014
2019-07-04 00:20:00,3.863883972,8.268656909,0.1479969,51.04895782,61.23392454,7.099999905,125.0885822,10.184966720000006
2019-07-04 00:30:00,4.000392687,8.166262776,0.353992486,51.04895782,64.30398704,7.137499762,97.33418436,13.255029219999983
2019-07-04 00:40:00,4.504327393,8.487355381,0.073499468,51.04895782,54.71932778,7.137499785,157.2617321,3.6703699600000164
2019-07-04 00:50:00,4.49461925,8.399032608,0.037999737,51.04895782,46.11679753,7.119999814,149.3109726,-4.932160290000013
2019-07-04 01:00:00,4.660233808,8.570155665,0.0,51.04895782,48.82090685,7.144999743,173.7521175,-2.228050969999998
2019-07-04 01:10:00,4.651156807,8.714096323,0.024499745,51.04895782,55.00613866,7.149999738,179.8638069,3.9571808400000066
2019-07-04 01:20:00,5.609984243,10.09438808,0.0,51.04895782,45.94843762,7.167499781,322.0179245,-5.100520200000005
2019-07-04 01:30:00,5.28285718,9.429852068,0.0,51.04895782,42.69311644,7.199999809,249.3010536,-8.355841380000015
2019-07-04 01:40:00,5.016708136,9.320288077,0.0,51.04895782,47.91293535,7.199999809,238.8859818,-3.1360224700000003
