,Unnamed: 0,Wind speed (m/s),Power (kW),Blade angle (pitch position) A (°),Rotor speed (RPM)
404,4262,8.059955788,1407.129095,0.3745,14.88225465
405,4264,7.64551084,1324.031778,0.346999991,14.72914495
406,4267,8.731899667,1398.234039,0.610499999,14.76698117
407,4269,9.041954191,1462.798488,0.745263156,14.83745931
408,4272,9.065147475,1729.699725,0.867999999,15.09532209
409,4274,9.637947057,1719.421201,1.53750002,15.14205967
410,4277,7.819923997,1353.219812,0.056000002,14.99710183
411,4281,6.857922435,1011.461163,0.0205,13.93654624
412,4287,8.853855395,1590.682785,0.945,14.89876507
413,4291,8.182709575,1398.855621,0.403499998,14.78874314
414,4300,7.120062256,1054.068622,0.0,14.37509371
415,4324,5.60178306,573.1420258,0.0,11.80466723
416,4443,6.204615283,329.2462341,0.0,10.11694765
417,4466,5.589862418,176.3915405,0.0,8.549524248
418,4472,4.181581259,53.96432135,0.865500009,8.1320934
419,4570,3.148957098,31.4642356,1.762999991,7.830604356
420,4708,8.911229406,1258.684103,0.007,14.75399624
421,4711,9.408614135,1590.796408,0.747000015,14.97149742
422,4731,8.064503527,934.2182907,0.0,13.86089762
423,4739,9.975100618,1796.228291,1.854210546,15.12622509
424,4742,9.126501346,1352.373099,0.307999998,14.89413173
425,4743,9.761468863,1800.753571,1.380499986,15.11568099
426,4744,10.3384655,1927.04472,1.766000002,15.19800389
427,4757,10.51184996,1874.149109,1.502000003,15.12845483
428,4758,9.985629439,1735.245282,0.970500003,15.08754891
429,4760,10.19668517,1914.272986,1.674000016,15.16987731
430,4761,11.19118967,2035.239972,4.102105298,15.16484918
431,4762,11.24203224,1995.354639,4.081428539,15.21336266
432,4763,12.10262704,2043.490736,6.210000013,15.17466752
433,4764,10.60073512,1992.514608,3.50066665,15.1305207
434,4765,10.3820688,1891.590851,1.93099997,15.16259846
435,4766,9.451989776,1850.496008,1.511052649,15.1484102
436,4767,10.9829185,2005.377026,3.023499978,15.17205392
437,4768,10.14350359,1742.394223,1.181500021,15.11082691
438,4769,9.342568851,1788.766699,0.409999996,15.12092395
439,4771,9.493426228,1770.809558,0.413999999,15.13805585
440,4868,8.604226851,1183.642035,0.0,14.97843871
441,4908,8.020529103,890.0662659,0.0,13.76785241
442,5095,3.240579355,58.50530403,1.521499985,7.944285057
443,5188,2.613970876,13.96089946,6.616000187,7.375798604
444,5197,2.696729714,6.352093741,1.49000001,8.132281178
445,5207,2.468577999,3.13595649,1.49000001,8.144763306
446,5267,3.077082586,6.735939741,17.14400064,5.329546577
447,5268,2.81991505,1.450546509,5.840000176,7.483722126
448,5272,2.792786019,5.968685763,6.385000144,7.295276661
449,5273,2.8199476,16.4769108,3.440000093,7.838460434
450,5310,7.328073597,1062.96104,0.0,13.60959059
451,5332,9.62193444,1715.978475,0.505555544,14.99362503
452,5333,9.980058193,1998.909502,2.991428556,15.14122654
453,5334,9.363878655,1874.156592,2.301000011,15.12683898
454,5336,9.145732069,1743.724188,1.646999991,15.13100798
455,5337,10.65779619,1929.620081,1.99000001,15.17163751
456,5340,10.45076861,2015.500842,4.356999987,15.14783764
457,5341,11.16731839,2055.586804,6.296500015,15.17525022
458,5342,10.67325888,1965.423901,2.665000008,15.16317111
459,5347,11.44905982,2024.15849,6.941000038,15.13730286
460,5348,12.06550198,2047.131921,8.150000036,15.13424733
461,5349,11.13351591,2038.45025,6.195499986,15.16570272
462,5350,12.21556132,2053.251013,8.324499989,15.15857984
463,5351,12.90672179,2045.593413,9.643529415,15.16517727
464,5352,12.22477921,2040.392377,7.862941153,15.11715726
465,5353,11.53788152,2025.720667,6.713500029,15.11781156
466,5356,11.85619125,2052.142322,7.16099999,15.14404491
467,5369,11.595648,2026.29104,5.65600003,15.11583441
468,5378,11.53352993,1972.589805,6.637894753,15.20381532
469,5381,11.88603973,2045.100751,7.449000001,15.15384766
470,5382,11.54645729,1976.232239,6.15399999,15.19245788
471,5385,10.88669047,1966.644128,3.609000015,15.15675357
472,5388,11.28964522,1904.650183,4.309500012,15.16864394
473,5389,11.77644672,2043.716205,6.673000038,15.16392356
474,5390,12.01232047,2024.304126,7.567500073,15.11978911
475,5393,13.06121306,2043.387592,8.429000103,15.14523724
476,5395,10.99338775,1985.213196,3.884000006,15.16713533
477,5397,11.68491502,1962.803729,5.963499994,15.13536903
478,5400,11.96712074,2013.183203,7.602999997,15.17130044
479,5402,10.10894024,1925.813312,4.468499966,15.1565309
480,5403,11.66594424,2005.640063,6.243500019,15.14843698
481,5404,10.1563303,1848.164984,4.789000011,15.07544558
482,5405,12.68844104,2050.09516,9.007999972,15.22163549
483,5407,11.72044358,2046.625562,7.571999943,15.12891649
484,5410,13.7020092,2060.572705,10.91849997,15.1614017
485,5411,13.22122178,2033.050366,9.5049999,15.13680857
486,5412,13.40907426,2065.251801,10.68750001,15.2017187
487,5413,12.66969275,2052.699866,9.555499959,15.14591029
