,Wind speed (m/s),Power (kW),Blade angle (pitch position) A (°),Rotor speed (RPM)
1512,7.173039556,993.171637,0.085000001,13.87845084
1513,7.908003139,1282.443369,0.016,14.76603708
1514,8.538775492,1508.660019,0.219500004,14.91863063
1515,8.959587312,1277.700305,0.0,15.14167222
1516,7.852259994,992.7656342,0.0,14.34379712
1517,7.656035686,1048.356621,0.0,13.98110738
1518,3.028178356,47.08554338,5.518947551,7.461897103
1519,3.797287464,63.26637293,19.36350058,5.364042702
1520,3.561412466,41.76337425,18.49200068,5.604099356
1521,3.841779202,28.73133959,18.58950043,5.634349569
1522,2.395456031,12.49360171,5.819473781,7.512692042
1523,3.126845282,18.73753015,17.19500048,5.445202645
1524,4.459452498,136.6541974,12.38100029,6.758829441
